"DOI","Authors","Title","Source","Year","TotalCitation","TCperYear","NTC","SR","students","human","regression analysis","compressive strength","Assigned_cluster","pagerank"
"10.1016/j.jesp.2009.05.012","SANNA LJ;KENNEDY LA;CHANG EC;MICELI PM","WHEN THOUGHTS DON'T FEEL LIKE THEY USED TO: CHANGING FEELINGS OF SUBJECTIVE EASE IN JUDGMENTS OF THE PAST","JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY","2009","6","0.375","0.117","SANNA LJ, 2009, J EXP SOC PSYCHOL","0.000","0.000","0.000","0.000","","0.000"
"10.1007/s10257-019-00408-9","BAI L;LIU X;YU Y","RESEARCH ON SPATIAL SPILLOVER EFFECT OF E-COMMERCE INFORMATION SYSTEM IN CHINA’S AGRICULTURAL INDUSTRY","INFORMATION SYSTEMS AND E-BUSINESS MANAGEMENT","2020","5","1.000","0.299","BAI L, 2020, INF SYST E-BUS MANAGE","0.000","0.000","0.000","0.000","","0.000"
"10.1007/s10257-018-0386-y","ZHAO J;ZHAO H","DESIGN OF PROTOTYPE SYSTEM FOR MULTI-AGENT SUPPLY CHAIN INFORMATION SHARING BENEFIT DISTRIBUTION MANAGEMENT","INFORMATION SYSTEMS AND E-BUSINESS MANAGEMENT","2020","5","1.000","0.299","ZHAO J, 2020, INF SYST E-BUS MANAGE","0.000","0.000","0.000","0.000","","0.000"
"10.1007/s10257-018-00392-6","KANG L;CHU Y;LENG K;VAN NIEUWENHUYSE I","CONSTRUCTION OF FAST RETRIEVAL MODEL OF E-COMMERCE SUPPLY CHAIN INFORMATION SYSTEM BASED ON BAYESIAN NETWORK","INFORMATION SYSTEMS AND E-BUSINESS MANAGEMENT","2020","5","1.000","0.299","KANG L, 2020, INF SYST E-BUS MANAGE","0.000","0.000","0.000","0.000","","0.000"
"10.1007/s10257-018-0382-2","ZHANG H-L;ZHANG H-J;GUO X-T","RESEARCH ON THE FUTURE DEVELOPMENT PROSPECTS OF SPORTS PRODUCTS INDUSTRY UNDER THE MODE OF E-COMMERCE AND INTERNET OF THINGS","INFORMATION SYSTEMS AND E-BUSINESS MANAGEMENT","2020","5","1.000","0.299","ZHANG H-L, 2020, INF SYST E-BUS MANAGE","0.000","0.000","0.000","0.000","","0.000"
"10.1007/s11135-016-0321-6","MARKOVIĆ D;MLADENOVIĆ I;MILOVANČEVIĆ M","ESTIMATION OF THE MOST INFLUENTIAL SCIENCE AND TECHNOLOGY FACTORS FOR ECONOMIC GROWTH FORECASTING BY SOFT COMPUTING TECHNIQUE","QUALITY AND QUANTITY","2017","5","0.625","0.272","MARKOVIĆ D, 2017, QUAL QUANT","0.000","0.000","0.000","0.000","","0.000"
"10.1108/DPRG-09-2017-0047","HERMANTO A;SOLIMUN S;FERNANDES AAR;WAHYONO W;ZULKARNAIN Z","THE IMPORTANCE OF OPEN GOVERNMENT DATA FOR THE PRIVATE SECTOR AND NGOS IN INDONESIA","DIGITAL POLICY, REGULATION AND GOVERNANCE","2018","5","0.714","0.166","HERMANTO A, 2018, DIGIT POLI REGUL GOVERN","0.000","0.000","0.000","0.000","","0.000"
"10.1080/1540496X.2016.1243940","LI Y;ZHANG T","INCOMPLETE EXCHANGE RATE PASS-THROUGH: EVIDENCE FROM EXCHANGE RATE REFORM IN CHINA","EMERGING MARKETS FINANCE AND TRADE","2018","5","0.714","0.166","LI Y, 2018, EMERG MARK FINANC TRADE","0.000","0.000","0.000","0.000","","0.000"
"10.1093/jcr/ucy053","HUANG X;DONG P;ZHANG M","CRUSH ON YOU: ROMANTIC CRUSHES INCREASE CONSUMERS’ PREFERENCES FOR STRONG SENSORY STIMULI","JOURNAL OF CONSUMER RESEARCH","2019","5","0.833","0.280","HUANG X, 2019, J CONSUM RES","0.000","0.000","0.000","0.000","","0.000"
"10.1177/0972150916630472","KOUL S;SINHA PK;MISHRA HG","ANTECEDENTS TO CUSTOMER DEPENDENCY IN BUYER–SELLER RELATIONSHIP: A BOP RETAILER INVESTIGATION","GLOBAL BUSINESS REVIEW","2016","5","0.556","0.258","KOUL S, 2016, GLOBAL BUS REV","0.000","0.000","0.000","0.000","","0.000"
"10.1016/j.cam.2008.09.015","WANG L","ASYMPTOTIC BEHAVIOR OF SOLUTIONS TO A SYSTEM OF DIFFERENTIAL EQUATIONS WITH STATE-DEPENDENT DELAYS","JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS","2009","5","0.313","0.098","WANG L, 2009, J COMPUT APPL MATH","0.000","0.000","0.000","0.000","","0.000"
"10.1108/08876040810862840","LIU CM","THE PERCEPTIONS OF WAITERS AND CUSTOMERS ON RESTAURANT TIPPING","JOURNAL OF SERVICES MARKETING","2008","5","0.294","0.176","LIU CM, 2008, J SERV RES","0.000","0.000","0.000","0.000","","0.000"
"10.1007/s10257-021-00509-4","ZHAO Y;YU Y;SHAKEEL PM;MONTENEGRO-MARIN CE","RETRACTED ARTICLE: RESEARCH ON OPERATIONAL RESEARCH-BASED FINANCIAL MODEL BASED ON E-COMMERCE PLATFORM","INFORMATION SYSTEMS AND E-BUSINESS MANAGEMENT","2023","4","2.000","2.667","ZHAO Y, 2023, INF SYST E-BUS MANAGE","0.000","0.000","0.000","0.000","","0.000"
