"DOI","Authors","Title","Source","Year","TotalCitation","TCperYear","NTC","SR","students","human","regression analysis","compressive strength","Assigned_cluster","pagerank"
"10.1111/j.1540-5915.2011.00350.x","OKE A;WALUMBWA FO;MYERS A","INNOVATION STRATEGY, HUMAN RESOURCE POLICY, AND FIRMS' REVENUE GROWTH: THE ROLES OF ENVIRONMENTAL UNCERTAINTY AND INNOVATION PERFORMANCE","DECISION SCIENCES","2012","118","9.077","4.309","OKE A, 2012, DECIS SCI","0.000","0.000","0.000","0.000","","0.000"
"10.1016/j.leaqua.2011.02.002","FRY LW;HANNAH ST;NOEL M;WALUMBWA FO","IMPACT OF SPIRITUAL LEADERSHIP ON UNIT PERFORMANCE","LEADERSHIP QUARTERLY","2011","116","8.286","2.852","FRY LW, 2011, LEADERSH Q","0.000","0.000","0.000","0.000","","0.000"
"10.1111/j.1744-6570.2011.01224.x","WALUMBWA FO;CROPANZANO R;GOLDMAN BM","HOW LEADER-MEMBER EXCHANGE INFLUENCES EFFECTIVE WORK BEHAVIORS: SOCIAL EXCHANGE AND INTERNAL-EXTERNAL EFFICACY PERSPECTIVES","PERSONNEL PSYCHOLOGY","2011","114","8.143","2.803","WALUMBWA FO, 2011, PERS PSYCHOL","0.000","0.000","0.000","0.000","","0.000"
"10.2308/accr.2006.81.1.135","HUNTON JE;LIBBY R;MAZZA CL","FINANCIAL REPORTING TRANSPARENCY AND EARNINGS MANAGEMENT","ACCOUNTING REVIEW","2006","113","5.947","2.389","HUNTON JE, 2006, ACCOUNT REV","0.000","0.000","0.000","0.000","","0.000"
"10.1007/s10869-014-9375-4","BURKE RJ;ASTAKHOVA MN;HANG H","WORK PASSION THROUGH THE LENS OF CULTURE: HARMONIOUS WORK PASSION, OBSESSIVE WORK PASSION, AND WORK OUTCOMES IN RUSSIA AND CHINA","JOURNAL OF BUSINESS AND PSYCHOLOGY","2015","107","10.700","3.862","BURKE RJ, 2015, J BUS PSYCHOL","0.000","0.000","0.000","0.000","","0.000"
"10.5465/amj.2013.0948","DESAI VM","THE BEHAVIORAL THEORY OF THE (GOVERNED) FIRM: CORPORATE BOARD INFLUENCES ON ORGANIZATIONS' RESPONSES TO PERFORMANCE SHORTFALLS","ACADEMY OF MANAGEMENT JOURNAL","2016","106","11.778","5.480","DESAI VM, 2016, ACAD MANAGE J","0.000","0.000","0.000","0.000","","0.000"
"10.1016/j.tmp.2018.07.004","SHARMA P;NAYAK JK","TESTING THE ROLE OF TOURISTS’ EMOTIONAL EXPERIENCES IN PREDICTING DESTINATION IMAGE, SATISFACTION, AND BEHAVIORAL INTENTIONS: A CASE OF WELLNESS TOURISM","TOURISM MANAGEMENT PERSPECTIVES","2018","101","14.429","3.347","SHARMA P, 2018, TOUR MANAGE PERSPECT","0.000","0.000","0.000","0.000","","0.000"
"10.2308/accr.2005.80.1.1","BHOJRAJ S;LIBBY R","CAPITAL MARKET PRESSURE, DISCLOSURE FREQUENCY-INDUCED EARNINGS/CASH FLOW CONFLICT, AND MANAGERIAL MYOPIA","ACCOUNTING REVIEW","2005","100","5.000","0.384","BHOJRAJ S, 2005, ACCOUNT REV","0.000","0.000","0.000","0.000","","0.000"
"10.1111/j.1475-679X.2006.00210.x","LIBBY R;NELSON MW;HUNTON JE","RECOGNITION V. DISCLOSURE, AUDITOR TOLERANCE FOR MISSTATEMENT, AND THE RELIABILITY OF STOCK-COMPENSATION AND LEASE INFORMATION","JOURNAL OF ACCOUNTING RESEARCH","2006","98","5.158","2.072","LIBBY R, 2006, J ACCOUNT RES","0.000","0.000","0.000","0.000","","0.000"
"10.1016/0191-8869(88)90125-0","GROSSARTH-MATICEK R;EYSENCK HJ;VETTER H","PERSONALITY TYPE, SMOKING HABIT AND THEIR INTERACTION AS PREDICTORS OF CANCER AND CORONARY HEART DISEASE","PERSONALITY AND INDIVIDUAL DIFFERENCES","1988","97","2.622","1.960","GROSSARTH-MATICEK R, 1988, PERS INDIVID DIFFER","0.000","0.000","0.000","0.000","","0.000"
"10.1016/j.econmod.2006.06.007","ZHANG J;DA Q;WANG Y","ANALYSIS OF NONLINEAR DUOPOLY GAME WITH HETEROGENEOUS PLAYERS","ECONOMIC MODELLING","2007","91","5.056","2.926","ZHANG J, 2007, ECON MODEL","0.000","0.000","0.000","0.000","","0.000"
"10.1111/j.1744-6570.2011.01225.x","HANNAH ST;WALUMBWA FO;FRY LW","LEADERSHIP IN ACTION TEAMS: TEAM LEADER AND MEMBERS' AUTHENTICITY, AUTHENTICITY STRENGTH, AND TEAM OUTCOMES","PERSONNEL PSYCHOLOGY","2011","88","6.286","2.164","HANNAH ST, 2011, PERS PSYCHOL","0.000","0.000","0.000","0.000","","0.000"
"10.1007/s10551-008-9733-0","SALAM MA","CORPORATE SOCIAL RESPONSIBILITY IN PURCHASING AND SUPPLY CHAIN","JOURNAL OF BUSINESS ETHICS","2009","87","5.438","1.702","SALAM MA, 2009, J BUS ETHICS","0.000","0.000","0.000","0.000","","0.000"
"10.1016/j.jclepro.2018.01.231","CHEN Z;WEI D;LI Q;WANG X;YU S;LIU L;LIU B;XIE S;WANG J;CHEN D;HAYAT T;WANG X","MACROSCOPIC AND MICROSCOPIC INVESTIGATION OF CR(VI) IMMOBILIZATION BY NANOSCALED ZERO-VALENT IRON SUPPORTED ZEOLITE MCM-41 VIA BATCH, VISUAL, XPS AND EXAFS TECHNIQUES","JOURNAL OF CLEANER PRODUCTION","2018","85","12.143","2.817","CHEN Z, 2018, J CLEAN PROD","0.000","0.000","0.000","0.000","","0.000"
"10.1016/j.accinf.2007.05.001","WIER B;HUNTON J;HASSABELNABY HR","ENTERPRISE RESOURCE PLANNING SYSTEMS AND NON-FINANCIAL PERFORMANCE INCENTIVES: THE JOINT IMPACT ON CORPORATE PERFORMANCE","INTERNATIONAL JOURNAL OF ACCOUNTING INFORMATION SYSTEMS","2007","83","4.611","2.668","WIER B, 2007, INT J ACCOUNT INF SYST","0.000","0.000","0.000","0.000","","0.000"
"10.1111/j.1467-9280.2008.02172.x","PERSSON J;REUTER-LORENZ PA","GAINING CONTROL: TRAINING EXECUTIVE FUNCTION AND FAR TRANSFER OF THE ABILITY TO RESOLVE INTERFERENCE","PSYCHOLOGICAL SCIENCE","2008","81","4.765","2.848","PERSSON J, 2008, PSYCHOL SCI","0.000","0.000","0.000","0.000","","0.000"
"10.1086/648688","SMEESTERS D;MUSSWEILER T;MANDEL N","THE EFFECTS OF THIN AND HEAVY MEDIA IMAGES ON OVERWEIGHT AND UNDERWEIGHT CONSUMERS: SOCIAL COMPARISON PROCESSES AND BEHAVIORAL IMPLICATIONS","JOURNAL OF CONSUMER RESEARCH","2010","79","5.267","3.081","SMEESTERS D, 2010, J CONSUM RES","0.000","0.000","0.000","0.000","","0.000"
"10.1002/jtr.2278","SHARMA P;NAYAK JK","UNDERSTANDING MEMORABLE TOURISM EXPERIENCES AS THE DETERMINANTS OF TOURISTS' BEHAVIOUR","INTERNATIONAL JOURNAL OF TOURISM RESEARCH","2019","77","12.833","4.306","SHARMA P, 2019, INT J TOUR RES","0.000","0.000","0.000","0.000","","0.000"
"10.1037/0022-3514.92.1.106","TRAMPE D;STAPEL DA;SIERO FW","ON MODELS AND VASES: BODY DISSATISFACTION AND PRONENESS TO SOCIAL COMPARISON EFFECTS","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY","2007","75","4.167","2.411","TRAMPE D, 2007, J PERS SOC PSYCHOL","0.000","0.000","0.000","0.000","","0.000"
"10.1093/rfs/hhw062","BIRD A;KAROLYI SA","DO INSTITUTIONAL INVESTORS DEMAND PUBLIC DISCLOSURE?","REVIEW OF FINANCIAL STUDIES","2016","71","7.889","3.670","BIRD A, 2016, REV FINANC STUD","0.000","0.000","0.000","0.000","","0.000"
"10.1016/j.leaqua.2011.12.004","PETERSON SJ;WALUMBWA FO;AVOLIO BJ;HANNAH ST","THE RELATIONSHIP BETWEEN AUTHENTIC LEADERSHIP AND FOLLOWER JOB PERFORMANCE: THE MEDIATING ROLE OF FOLLOWER POSITIVITY IN EXTREME CONTEXTS","LEADERSHIP QUARTERLY","2012","71","5.462","2.593","PETERSON SJ, 2012, LEADERSH Q","0.000","0.000","0.000","0.000","","0.000"
"10.1016/j.pursup.2020.100610","ROJO GALLEGO BURIN A;PEREZ-AROSTEGUI MN;LLORENS-MONTES J","AMBIDEXTERITY AND IT COMPETENCE CAN IMPROVE SUPPLY CHAIN FLEXIBILITY? A RESOURCE ORCHESTRATION APPROACH","JOURNAL OF PURCHASING AND SUPPLY MANAGEMENT","2020","70","14.000","4.184","ROJO GALLEGO BURIN A, 2020, J PURCH SUPPLY MANAGE","0.000","0.000","0.000","0.000","","0.000"
"10.1016/j.physa.2015.03.009","SHEIKHOLESLAMI M;BANDPY MG;ASHORYNEJAD HR","LATTICE BOLTZMANN METHOD FOR SIMULATION OF MAGNETIC FIELD EFFECT ON HYDROTHERMAL BEHAVIOR OF NANOFLUID IN A CUBIC CAVITY","PHYSICA A: STATISTICAL MECHANICS AND ITS APPLICATIONS","2015","68","6.800","2.454","SHEIKHOLESLAMI M, 2015, PHYS A STAT MECH APPL","0.000","0.000","0.000","0.000","","0.000"
"10.1111/1475-679X.00045","TAN H-T;LIBBY R;HUNTON JE","ANALYSTS' REACTIONS TO EARNINGS PREANNOUNCEMENT STRATEGIES","JOURNAL OF ACCOUNTING RESEARCH","2002","67","2.913","1.787","TAN H-T, 2002, J ACCOUNT RES","0.000","0.000","0.000","0.000","","0.000"
"10.1177/0003122415579989","MUNSCH CL","HER SUPPORT, HIS SUPPORT: MONEY, MASCULINITY, AND MARITAL INFIDELITY","AMERICAN SOCIOLOGICAL REVIEW","2015","66","6.600","2.382","MUNSCH CL, 2015, AM SOCIOL REV","0.000","0.000","0.000","0.000","","0.000"
"10.1016/j.indmarman.2019.10.009","ZHENG K;ZHANG Z;SONG B","E-COMMERCE LOGISTICS DISTRIBUTION MODE IN BIG-DATA CONTEXT: A CASE ANALYSIS OF JD.COM","INDUSTRIAL MARKETING MANAGEMENT","2020","65","13.000","3.885","ZHENG K, 2020, IND MARK MANAGE","0.000","0.000","0.000","0.000","","0.000"
"10.1177/0956797611432497","BANERJEE P;CHATTERJEE P;SINHA J","IS IT LIGHT OR DARK? RECALLING MORAL BEHAVIOR CHANGES PERCEPTION OF BRIGHTNESS","PSYCHOLOGICAL SCIENCE","2012","63","4.846","2.301","BANERJEE P, 2012, PSYCHOL SCI","0.000","0.000","0.000","0.000","","0.000"
"10.2308/acch.2009.23.1.1","GOLD A;HUNTON JE;GOMAA MI","THE IMPACT OF CLIENT AND AUDITOR GENDER ON AUDITORS' JUDGMENTS","ACCOUNTING HORIZONS","2009","63","3.938","1.232","GOLD A, 2009, ACCOUNT HORIZ","0.000","0.000","0.000","0.000","","0.000"
"10.1002/csr.1826","CHEEMA S;AFSAR B;AL-GHAZALI BM;MAQSOOM A","HOW EMPLOYEE'S PERCEIVED CORPORATE SOCIAL RESPONSIBILITY AFFECTS EMPLOYEE'S PRO-ENVIRONMENTAL BEHAVIOUR? THE INFLUENCE OF ORGANIZATIONAL IDENTIFICATION, CORPORATE ENTREPRENEURSHIP, AND ENVIRONMENTAL CONSCIOUSNESS","CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT","2020","61","12.200","3.646","CHEEMA S, 2020, CORP SOC RESPONSIB ENVIRON MANAGE","0.000","0.000","0.000","0.000","","0.000"
"10.1037/0022-3514.93.1.23","STAPEL DA;SEMIN GR","THE MAGIC SPELL OF LANGUAGE: LINGUISTIC CATEGORIES AND THEIR PERCEPTUAL CONSEQUENCES","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY","2007","60","3.333","1.929","STAPEL DA, 2007, J PERS SOC PSYCHOL","0.000","0.000","0.000","0.000","","0.000"
"10.1037/0022-3514.87.6.860","STAPEL DA;SULS J","METHOD MATTERS: EFFECTS OF EXPLICIT VERSUS IMPLICIT SOCIAL COMPARISONS ON ACTIVATION, BEHAVIOR, AND SELF-VIEWS","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY","2004","60","2.857","0.262","STAPEL DA, 2004, J PERS SOC PSYCHOL-a","0.000","0.000","0.000","0.000","","0.000"
"10.1016/j.eswa.2010.07.069","YANG R;REN M","WAVELET DENOISING USING PRINCIPAL COMPONENT ANALYSIS","EXPERT SYSTEMS WITH APPLICATIONS","2011","59","4.214","1.451","YANG R, 2011, EXPERT SYS APPL","0.000","0.000","0.000","0.000","","0.000"
"10.1002/mar.20375","TRAMPE D;STAPEL DA;SIERO FW;MULDER H","BEAUTY AS A TOOL: THE EFFECT OF MODEL ATTRACTIVENESS, PRODUCT RELEVANCE, AND ELABORATION LIKELIHOOD ON ADVERTISING EFFECTIVENESS","PSYCHOLOGY AND MARKETING","2010","59","3.933","2.301","TRAMPE D, 2010, PSYCHOL MARK","0.000","0.000","0.000","0.000","","0.000"
"10.1016/j.cam.2019.112622","ATANGANA A;İĞRET ARAZ S","NEW NUMERICAL METHOD FOR ORDINARY DIFFERENTIAL EQUATIONS: NEWTON POLYNOMIAL","JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS","2020","58","11.600","3.467","ATANGANA A, 2020, J COMPUT APPL MATH","0.000","0.000","0.000","0.000","","0.000"
"10.1002/mar.20794","WANSINK B","CHANGE THEIR CHOICE! CHANGING BEHAVIOR USING THE CAN APPROACH AND ACTIVISM RESEARCH","PSYCHOLOGY AND MARKETING","2015","58","5.800","2.093","WANSINK B, 2015, PSYCHOL MARK","0.000","0.000","0.000","0.000","","0.000"
"10.1037/0022-3514.70.3.437","STAPEL DA;KOOMEN W;VAN DER PLIGT J","THE REFERENTS OF TRAIT INFERENCES: THE IMPACT OF TRAIT CONCEPTS VERSUS ACTOR-TRAIT LINKS ON SUBSEQUENT JUDGMENTS","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY","1996","58","2.000","1.000","STAPEL DA, 1996, J PERS SOC PSYCHOL","0.000","0.000","0.000","0.000","","0.000"
"10.1111/j.1475-679X.2007.00265.x","LIBBY R;HUNTON JE;TAN H-T;SEYBERT N","RELATIONSHIP INCENTIVES AND THE OPTIMISTIC/PESSIMISTIC PATTERN IN ANALYSTS' FORECASTS","JOURNAL OF ACCOUNTING RESEARCH","2008","57","3.353","2.004","LIBBY R, 2008, J ACCOUNT RES","0.000","0.000","0.000","0.000","","0.000"
"10.1287/orsc.1090.0499","LICHTENTHALER U;ERNST H;HOEGL M","NOT-SOLD-HERE: HOW ATTITUDES INFLUENCE EXTERNAL KNOWLEDGE EXPLOITATION","ORGANIZATION SCIENCE","2010","53","3.533","2.067","LICHTENTHALER U, 2010, ORGAN SCI","0.000","0.000","0.000","0.000","","0.000"
"10.2308/jis.2010.24.1.67","HUNTON JE;NORMAN CS","THE IMPACT OF ALTERNATIVE TELEWORK ARRANGEMENTS ON ORGANIZATIONAL COMMITMENT: INSIGHTS FROM A LONGITUDINAL FIELD EXPERIMENT","JOURNAL OF INFORMATION SYSTEMS","2010","52","3.467","2.028","HUNTON JE, 2010, J INFO SYST","0.000","0.000","0.000","0.000","","0.000"
"10.1080/00224545.2011.605398","GUÉGUEN N","COLOR AND WOMEN ATTRACTIVENESS: WHEN RED CLOTHED WOMEN ARE PERCEIVED TO HAVE MORE INTENSE SEXUAL INTENT","JOURNAL OF SOCIAL PSYCHOLOGY","2012","52","4.000","1.899","GUÉGUEN N, 2012, J SOC PSYCHOL","0.000","0.000","0.000","0.000","","0.000"
"10.2308/accr.2006.81.1.207","LIBBY R;TAN H-T;HUNTON JE","DOES THE FORM OF MANAGEMENT'S EARNINGS GUIDANCE AFFECT ANALYSTS' EARNINGS FORECASTS?","ACCOUNTING REVIEW","2006","52","2.737","1.099","LIBBY R, 2006, ACCOUNT REV","0.000","0.000","0.000","0.000","","0.000"
"10.2308/accr-51520","BIRD A;KAROLYI SA","GOVERNANCE AND TAXES: EVIDENCE FROM REGRESSION DISCONTINUITY","ACCOUNTING REVIEW","2017","51","6.375","2.773","BIRD A, 2017, ACCOUNT REV","0.000","0.000","0.000","0.000","","0.000"
"10.1016/j.jbusvent.2007.06.002","LICHTENTHALER U","EXTERNALLY COMMERCIALIZING TECHNOLOGY ASSETS: AN EXAMINATION OF DIFFERENT PROCESS STAGES","JOURNAL OF BUSINESS VENTURING","2008","51","3.000","1.793","LICHTENTHALER U, 2008, J BUS VENTURING","0.000","0.000","0.000","0.000","","0.000"
"10.1016/j.jclepro.2020.122960","JALAL M;ARABALI P;GRASLEY Z;BULLARD JW;JALAL H","BEHAVIOR ASSESSMENT, REGRESSION ANALYSIS AND SUPPORT VECTOR MACHINE (SVM) MODELING OF WASTE TIRE RUBBERIZED CONCRETE","JOURNAL OF CLEANER PRODUCTION","2020","50","10.000","2.989","JALAL M, 2020, J CLEAN PROD","0.215","0.000","0.334","0.451","","0.000"
"10.1007/s11192-020-03852-4","MACHÁČEK V;SRHOLEC M","RETRACTED ARTICLE: PREDATORY PUBLISHING IN SCOPUS: EVIDENCE ON CROSS-COUNTRY DIFFERENCES","SCIENTOMETRICS","2021","50","12.500","8.868","MACHÁČEK V, 2021, SCIENTOMETRICS","0.000","0.000","0.000","0.000","","0.000"
"10.1086/677225","HUANG XI;DONG P;MUKHOPADHYAY A","PROUD TO BELONG OR PROUDLY DIFFERENT? LAY THEORIES DETERMINE CONTRASTING EFFECTS OF INCIDENTAL PRIDE ON UNIQUENESS SEEKING","JOURNAL OF CONSUMER RESEARCH","2014","49","4.455","2.394","HUANG XI, 2014, J CONSUM RES","0.000","0.000","0.000","0.000","","0.000"
"10.1007/s10257-018-0388-9","UTHAYAKUMAR J;METAWA N;SHANKAR K;LAKSHMANAPRABU SK","INTELLIGENT HYBRID MODEL FOR FINANCIAL CRISIS PREDICTION USING MACHINE LEARNING TECHNIQUES","INFORMATION SYSTEMS AND E-BUSINESS MANAGEMENT","2020","48","9.600","2.869","UTHAYAKUMAR J, 2020, INF SYST E-BUS MANAGE","0.000","0.000","0.000","0.000","","0.000"
"10.1002/csr.1987","AL-GHAZALI BM;AFSAR B","GREEN HUMAN RESOURCE MANAGEMENT AND EMPLOYEES' GREEN CREATIVITY: THE ROLES OF GREEN BEHAVIORAL INTENTION AND INDIVIDUAL GREEN VALUES","CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT","2020","47","9.400","2.809","AL-GHAZALI BM, 2020, CORP SOC RESPONSIB ENVIRON MANAGE","0.000","0.000","0.000","0.000","","0.000"
"10.1007/s10683-015-9440-5","ERAT S;GNEEZY U","INCENTIVES FOR CREATIVITY","EXPERIMENTAL ECONOMICS","2016","47","5.222","2.430","ERAT S, 2016, EXP ECON","0.000","0.000","0.000","0.000","","0.000"
"10.1016/j.leaqua.2009.03.015","AVOLIO BJ;ROTUNDO M;WALUMBWA FO","EARLY LIFE EXPERIENCES AS DETERMINANTS OF LEADERSHIP ROLE OCCUPANCY: THE IMPORTANCE OF PARENTAL INFLUENCE AND RULE BREAKING BEHAVIOR","LEADERSHIP QUARTERLY","2009","46","2.875","0.900","AVOLIO BJ, 2009, LEADERSH Q","0.000","0.000","0.000","0.000","","0.000"
"10.1016/S0191-8869(95)00123-9","GROSSARTH-MATICEK R;EYSENCK HJ","SELF-REGULATION AND MORTALITY FROM CANCER, CORONARY HEART DISEASE, AND OTHER CAUSES: A PROSPECTIVE STUDY","PERSONALITY AND INDIVIDUAL DIFFERENCES","1995","46","1.533","1.000","GROSSARTH-MATICEK R, 1995, PERS INDIVID DIFFER","0.000","0.000","0.000","0.000","","0.000"
"10.1016/j.ijintrel.2021.03.009","AKDERE M;ACHESON-CLAIR K;JIANG Y","AN EXAMINATION OF THE EFFECTIVENESS OF VIRTUAL REALITY TECHNOLOGY FOR INTERCULTURAL COMPETENCE DEVELOPMENT","INTERNATIONAL JOURNAL OF INTERCULTURAL RELATIONS","2021","45","11.250","7.981","AKDERE M, 2021, INT J INTERCULT RELAT","0.000","0.000","0.000","0.000","","0.000"
"10.1016/j.jesp.2011.02.006","BRUMMERT LENNINGS HI;WARBURTON WA","THE EFFECT OF AUDITORY VERSUS VISUAL VIOLENT MEDIA EXPOSURE ON AGGRESSIVE BEHAVIOUR: THE ROLE OF SONG LYRICS, VIDEO CLIPS AND MUSICAL TONE","JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY","2011","45","3.214","1.107","BRUMMERT LENNINGS HI, 2011, J EXP SOC PSYCHOL","0.000","0.000","0.000","0.000","","0.000"
"10.1002/job.1942","KRISTOF-BROWN AL;SEONG JY;DEGEEST DS;PARK W-W;HONG D-S","COLLECTIVE FIT PERCEPTIONS: A MULTILEVEL INVESTIGATION OF PERSON-GROUP FIT WITH INDIVIDUAL-LEVEL AND TEAM-LEVEL OUTCOMES","JOURNAL OF ORGANIZATIONAL BEHAVIOR","2014","44","4.000","2.149","KRISTOF-BROWN AL, 2014, J ORGAN BEHAV","0.000","0.000","0.000","0.000","","0.000"
"10.2308/accr.2008.83.6.1551","HUNTON JE;MAULDIN EG;WHEELER PR","POTENTIAL FUNCTIONAL AND DYSFUNCTIONAL EFFECTS OF CONTINUOUS MONITORING","ACCOUNTING REVIEW","2008","44","2.588","1.547","HUNTON JE, 2008, ACCOUNT REV","0.000","0.000","0.000","0.000","","0.000"
"10.1002/csr.1843","AFSAR B;AL-GHAZALI BM;REHMAN ZU;UMRANI WA","THE MODERATING EFFECTS OF EMPLOYEE CORPORATE SOCIAL RESPONSIBILITY MOTIVE ATTRIBUTIONS (SUBSTANTIVE AND SYMBOLIC) BETWEEN CORPORATE SOCIAL RESPONSIBILITY PERCEPTIONS AND VOLUNTARY PRO-ENVIRONMENTAL BEHAVIOR","CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT","2020","43","8.600","2.570","AFSAR B, 2020, CORP SOC RESPONSIB ENVIRON MANAGE","0.000","0.000","0.000","0.000","","0.000"
"10.1111/j.1540-6520.2012.00548.x","LICHTENTHALER U;MUETHEL M","THE IMPACT OF FAMILY INVOLVEMENT ON DYNAMIC INNOVATION CAPABILITIES: EVIDENCE FROM GERMAN MANUFACTURING FIRMS","ENTREPRENEURSHIP: THEORY AND PRACTICE","2012","43","3.308","1.570","LICHTENTHALER U, 2012, ENTREP THEORY PRACT","0.000","0.000","0.000","0.000","","0.000"
"10.1016/j.japwor.2018.03.004","SU C-W;LI Z-Z;TAO R;SI D-K","TESTING FOR MULTIPLE BUBBLES IN BITCOIN MARKETS: A GENERALIZED SUP ADF TEST","JAPAN AND THE WORLD ECONOMY","2018","42","6.000","1.392","SU C-W, 2018, JPN WORLD ECON","0.000","0.000","0.000","0.000","","0.000"
"10.1177/1059601112472726","WANG P;WALUMBWA FO;WANG H;ARYEE S","UNRAVELING THE RELATIONSHIP BETWEEN FAMILY-SUPPORTIVE SUPERVISOR AND EMPLOYEE PERFORMANCE","GROUP AND ORGANIZATION MANAGEMENT","2013","42","3.500","0.974","WANG P, 2013, GROUP ORGAN MANAGE","0.000","0.000","0.000","0.000","","0.000"
"10.1177/0001839215619198","BERMISS YS;GREENBAUM BE","LOYAL TO WHOM? THE EFFECT OF RELATIONAL EMBEDDEDNESS AND MANAGERS’ MOBILITY ON MARKET TIE DISSOLUTION*","ADMINISTRATIVE SCIENCE QUARTERLY","2016","41","4.556","2.119","BERMISS YS, 2016, ADM SCI Q","0.000","0.000","0.000","0.000","","0.000"
"10.1108/IJBM-01-2014-0006","KAUSHIK AK;RAHMAN Z","INNOVATION ADOPTION ACROSS SELF-SERVICE BANKING TECHNOLOGIES IN INDIA","INTERNATIONAL JOURNAL OF BANK MARKETING","2015","41","4.100","1.480","KAUSHIK AK, 2015, INT J BANK MARK","0.000","0.000","0.000","0.000","","0.000"
"10.1093/socpro/spu002","STEWART EA;MARTINEZ R;JR;BAUMER EP;GERTZ M","THE SOCIAL CONTEXT OF LATINO THREAT AND PUNITIVE LATINO SENTIMENT","SOCIAL PROBLEMS","2015","41","4.100","1.480","STEWART EA, 2015, SOC PROBL","0.000","0.000","0.000","0.000","","0.000"
"10.1037/0022-3514.91.2.243","MARX DM;STAPEL DA","DISTINGUISHING STEREOTYPE THREAT FROM PRIMING EFFECTS: ON THE ROLE OF THE SOCIAL SELF AND THREAT-BASED CONCERNS","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY","2006","41","2.158","0.867","MARX DM, 2006, J PERS SOC PSYCHOL","0.000","0.000","0.000","0.000","","0.000"
"10.1093/reseval/rvab020","ÁNGELES OVIEDO-GARCIÁ M","JOURNAL CITATION REPORTS AND THE DEFINITION OF A PREDATORY JOURNAL: THE CASE OF THE MULTIDISCIPLINARY DIGITAL PUBLISHING INSTITUTE (MDPI)","RESEARCH EVALUATION","2021","40","10.000","7.094","ÁNGELES OVIEDO-GARCIÁ M, 2021, RES EVAL","0.000","0.000","0.000","0.000","","0.000"
"10.1111/j.1911-3846.2011.01100.x","HUNTON JE;HOITASH R;THIBODEAU JC","THE RELATIONSHIP BETWEEN PERCEIVED TONE AT THE TOP AND EARNINGS QUALITY*","CONTEMPORARY ACCOUNTING RESEARCH","2011","40","2.857","0.984","HUNTON JE, 2011, CONTEMP ACCOUNT RES","0.000","0.000","0.000","0.000","","0.000"
"10.1177/0956797612464380","ANDERSON DE;VOGEL EK;AWH E","A COMMON DISCRETE RESOURCE FOR VISUAL WORKING MEMORY AND VISUAL SEARCH","PSYCHOLOGICAL SCIENCE","2013","39","3.250","0.904","ANDERSON DE, 2013, PSYCHOL SCI","0.000","0.000","0.000","0.000","","0.000"
"10.1080/10548408.2014.884964","FAKHARYAN M;OMIDVAR S;KHODADADIAN MR;JALILVAND MR;NASROLAHI VOSTA L","EXAMINING THE EFFECT OF CUSTOMER-TO-CUSTOMER INTERACTIONS ON SATISFACTION, LOYALTY, AND WORD-OF-MOUTH BEHAVIORS IN THE HOSPITALITY INDUSTRY: THE MEDIATING ROLE OF PERSONAL INTERACTION QUALITY AND SERVICE ATMOSPHERICS","JOURNAL OF TRAVEL AND TOURISM MARKETING","2014","39","3.545","1.905","FAKHARYAN M, 2014, J TRAVEL TOUR MARK","0.000","0.000","0.000","0.000","","0.000"
"10.1016/j.intmar.2017.07.001","KIM K;AHN SJG","THE ROLE OF GAMIFICATION IN ENHANCING INTRINSIC MOTIVATION TO USE A LOYALTY PROGRAM","JOURNAL OF INTERACTIVE MARKETING","2017","37","4.625","2.012","KIM K, 2017, J INTERACT MARK","0.000","0.000","0.000","0.000","","0.000"
"10.1037/0022-3514.90.2.258","STAPEL DA;VAN DER ZEE KI","THE SELF SALIENCE MODEL OF OTHER-TO-SELF EFFECTS: INTEGRATING PRINCIPLES OF SELF-ENHANCEMENT, COMPLEMENTARITY, AND IMITATION","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY","2006","37","1.947","0.782","STAPEL DA, 2006, J PERS SOC PSYCHOL","0.000","0.000","0.000","0.000","","0.000"
"10.1016/j.aos.2007.10.001","HUNTON JE;ROSE JM","CAN DIRECTORS' SELF-INTERESTS INFLUENCE ACCOUNTING CHOICES?","ACCOUNTING, ORGANIZATIONS AND SOCIETY","2008","37","2.176","1.301","HUNTON JE, 2008, ACCOUNT ORGAN SOC","0.000","0.000","0.000","0.000","","0.000"
"10.1509/jmkr.47.2.251","LIU J;SMEESTERS D","HAVE YOU SEEN THE NEWS TODAY? THE EFFECT OF DEATH-RELATED MEDIA CONTEXTS ON BRAND PREFERENCES","JOURNAL OF MARKETING RESEARCH","2010","36","2.400","1.404","LIU J, 2010, J MARK RES","0.000","0.000","0.000","0.000","","0.000"
